,acc,val_acc,loss,val_loss
epoch 1,0.9094547198657034,0.7610513739545998,2.283100137893822,2.6882715
epoch 2,0.9513174855361372,0.8100358422939068,2.0633299859108485,2.4346375
epoch 3,0.9678422614586768,0.8598168060533652,1.976677489583021,2.3505576
epoch 4,0.9775248058994574,0.8717642373556352,1.9179789374681495,2.2795699
epoch 5,0.9824560088731676,0.8861011549183592,1.8822797071255133,2.2385006
epoch 6,0.985243862226086,0.8892871365989645,1.8546644084055277,2.1771705
epoch 7,0.9875071195179712,0.9036240541616886,1.834850134146707,2.1485465
epoch 8,0.9892757576665967,0.9004380724810832,1.815678958451992,2.1676126
epoch 9,0.9905497766719625,0.9115890083632019,1.7930196873407476,2.0851254
epoch 10,0.990969453520789,0.9068100358422939,1.7957991096855421,2.1942453
epoch 11,0.9929629185527145,0.9147749900438072,1.779667312419437,2.1467543
epoch 12,0.9937498126442639,0.9091995221027479,1.7644605841002428,2.169753
epoch 13,0.9944842471297102,0.9123855037833533,1.7581518480769807,2.1128037
epoch 14,0.9942369375580803,0.9167662285941856,1.7590408510446955,2.0589905
epoch 15,0.995121256632393,0.9155714854639586,1.748471177193561,2.1035943
epoch 16,0.9955484277106628,0.9195539625647152,1.745893162265056,2.0942354
epoch 17,0.9958107257411792,0.9219434488251692,1.7286779804550496,2.038381
epoch 18,0.9961479660661291,0.9263241736360016,1.731522508918133,2.132268
epoch 19,0.9963802871788723,0.9303066507367582,1.724252169579424,2.0526185
epoch 20,0.9969723313048953,0.9239346873755476,1.7262072266854522,2.0715601
