,acc,val_acc,loss,val_loss
epoch 1,0.8693755808027819,0.7268020708880923,2.4297022542642166,2.6916568
epoch 2,0.9256347612338499,0.7980884109916367,2.194078996672562,2.568399
epoch 3,0.9493914685692018,0.8251692552767822,2.096141595971102,2.4828255
epoch 4,0.9580547978056896,0.8470728793309439,2.0536418207979854,2.3570788
epoch 5,0.9674300788392938,0.8622062923138192,1.9907853765100871,2.3409996
epoch 6,0.972406247189664,0.8673835125448028,1.970796861416709,2.3155615
epoch 7,0.9770151982973111,0.8769414575866189,1.9322531026109895,2.2925627
epoch 8,0.9797206151263527,0.8805256869772998,1.8996016817050871,2.189516
epoch 9,0.9829955933930873,0.8924731182795699,1.8876652477592255,2.2926624
epoch 10,0.9852213795377559,0.8940661091198726,1.8704711434695285,2.252489
epoch 11,0.9868551215564015,0.8952608522500995,1.8711133052549538,2.214805
epoch 12,0.9870424772924847,0.8988450816407806,1.850873265085884,2.177718
epoch 13,0.9885338289517072,0.9028275587415372,1.8302875535837406,2.1919055
epoch 14,0.9882640366917473,0.8992433293508563,1.8326117014898529,2.1851852
epoch 15,0.9888560808177703,0.9076065312624453,1.8298233797475945,2.1235065
epoch 16,0.991014418897449,0.9091995221027479,1.814314540303966,2.1597471
epoch 17,0.9915240264995953,0.9111907606531262,1.8018047978056897,2.1434686
epoch 18,0.9924458167211248,0.9111907606531262,1.8068676181839982,2.10912
epoch 19,0.9922434725261549,0.9115890083632019,1.8098957552684434,2.2196834
epoch 20,0.9923408975089182,0.9111907606531262,1.8034230829761084,2.0724812
epoch 21,0.9937498126442639,0.9107925129430505,1.7824865478581493,2.17956
epoch 22,0.9943418567702869,0.9179609717244126,1.7783586326028957,2.0799482
epoch 23,0.9948514643724332,0.9231381919553963,1.7808228289217303,2.1300278
epoch 24,0.9947765220779999,0.9215452011150936,1.7800368716088613,2.1353545
epoch 25,0.9950987739440631,0.9191557148546395,1.7681613282772266,2.0887096
epoch 26,0.9955933930873228,0.9251294305057746,1.7633683001588776,2.0653625
epoch 27,0.9959606103300459,0.9279171644763042,1.7686522003057645,2.0424135
epoch 28,0.9961179891483558,0.9263241736360016,1.7481770286879104,2.1319196
epoch 29,0.9963278275727689,0.9227399442453206,1.7527293046853922,2.122063
epoch 30,0.9963353218022123,0.9263241736360016,1.753415495068797,2.0480883
